ksp_type,ksp_rtol,it,energy,dE,grad_norm,alpha,ksp_its,ls_evals
gmres,1e-01,1,220.3436778131156,23.314402394253563,8548.422147388284,0.7199428553453088,13,17
gmres,1e-01,2,204.06655817620856,16.27711963690703,5947.381059644433,1.202116182519746,3,17
gmres,1e-01,3,203.9597311323031,0.1068270439054686,2254.4144698654845,0.08205585173408514,57,17
gmres,1e-01,4,202.18713299858675,1.7725981337163432,2044.2855551160535,0.26612753337380035,26,17
gmres,1e-01,5,199.78611046383685,2.401022534749899,1966.3428261015451,1.3366379607081647,6,17
gmres,1e-01,6,199.49010619039277,0.2960042734440833,925.3060264981264,0.15813091679870517,33,17
gmres,1e-01,7,198.90915744455248,0.5809487458402884,918.5248584492938,1.0440348459420459,12,17
gmres,1e-01,8,198.54660605961504,0.3625513849374329,695.4814029049733,1.583522126605732,11,17
gmres,1e-01,9,198.39263630658215,0.1539697530328965,459.78391577831,0.6048822726873903,17,17
gmres,1e-01,10,198.21206155229044,0.18057475429171177,430.42570813688695,1.7678612165214747,16,17
gmres,1e-01,11,198.13416405059934,0.07789750169109766,364.16212514811593,0.5968508143739829,23,17
gmres,1e-01,12,198.0230923137597,0.11107173683964788,330.46079424950545,1.645901935184685,23,17
gmres,1e-01,13,197.97482813687793,0.04826417688175866,286.1557640221213,0.4228087020412291,29,17
gmres,1e-01,14,197.88736362655632,0.08746451032160962,278.2882549963536,1.9996499580223008,24,17
gmres,1e-01,15,197.84974256871263,0.03762105784369396,148.72448426280005,0.46162895223056444,56,17
gmres,1e-01,16,197.81413975019078,0.03560281852185199,217.91726197665244,1.9996499580223008,14,17
gmres,1e-01,17,197.8024415119074,0.011698238283372575,96.26783737512046,-0.1296737511534568,84,17
gmres,1e-01,18,197.7760710948509,0.026370417056511997,115.25575888847311,0.9734583116461828,56,17
gmres,1e-01,19,197.7644498626689,0.011621232181994401,144.19079448096835,1.476390861389468,20,17
gmres,1e-01,20,197.76010627735926,0.004343585309641185,45.265251396200576,0.06312947275470948,10000,17
gmres,1e-01,21,197.75127065644253,0.008835620916727294,49.530623391036684,1.2502659180605513,71,17
gmres,1e-01,22,197.75015448125356,0.001116175188968782,52.61383444407655,1.058697594659029,9,17
gmres,1e-01,23,197.74910206266537,0.0010524185881877202,2.6173413190195913,0.9896864956770293,125,17
gmres,1e-01,24,197.74903769484183,6.436782354057868e-05,14.84234804731246,1.010713126521617,6,17
gmres,1e-02,1,234.8495544865755,8.808525720793654,8548.422147388284,0.20174961380176948,381,17
gmres,1e-02,2,209.5902823183922,25.259272168183287,7514.265247551589,1.0369708798593138,19,17
gmres,1e-02,3,202.02540845736598,7.5648738610262285,4071.2299048610894,1.121242670641273,25,17
gmres,1e-02,4,199.89556037610936,2.1298480812566254,1806.8234552585905,0.8873536772746007,20,17
gmres,1e-02,5,198.98082150817342,0.9147388679359381,1267.3771741811129,1.2635284988673887,56,17
gmres,1e-02,6,198.60474252055573,0.37607898761768865,723.6554490956919,0.9319398665085263,43,17
gmres,1e-02,7,198.42530568717993,0.17943683337580296,539.3204866162359,0.6341056292492676,91,17
gmres,1e-02,8,198.19671961654075,0.22858607063918157,528.8013020904401,1.5547314457231383,59,17
gmres,1e-02,9,198.18027583063116,0.01644378590958695,400.8320657056354,-0.08692040550939939,330,17
gmres,1e-02,10,198.08763316612539,0.09264266450577452,437.96219223769657,0.5322054865264118,66,17
gmres,1e-02,11,197.95401862893948,0.1336145371859061,390.6091788692821,1.7600971664836338,59,17
gmres,1e-02,12,197.91701526135998,0.0370033675795014,297.14338294842963,0.20358245739136038,68,17
gmres,1e-02,13,197.8383378803406,0.07867738101938926,299.3732236788685,1.9548985013850102,47,17
gmres,1e-02,14,197.81151096089658,0.02682691944400517,221.14744766079386,0.6304399420700858,80,17
gmres,1e-02,15,197.78277869201207,0.02873226888451086,188.22921136764154,1.4204770758108847,50,17
gmres,1e-02,16,197.77309823549973,0.009680456512342062,144.64892269102236,0.3485664805662,115,17
gmres,1e-02,17,197.75796205233624,0.015136183163491523,130.56885706418072,1.7778907858280506,49,17
gmres,1e-02,18,197.75361776083247,0.004344291503770137,90.93003119247462,0.5920523675602539,93,17
gmres,1e-02,19,197.74997075172973,0.00364700910273541,65.45455661720264,1.5734925572991036,61,17
gmres,1e-02,20,197.74918051156274,0.000790240166992362,35.38701055485107,0.7830227478789407,110,17
gmres,1e-02,21,197.7489275088399,0.00025300272284312086,18.395610569548943,1.5679940265300432,300,17
gmres,1e-02,22,197.74888268711,4.482172988673483e-05,4.167154659461032,1.596784707412637,10000,17
gmres,1e-03,1,235.67270545774127,7.98537474962788,8548.422147388284,0.18115565863676608,10000,17
gmres,1e-03,2,210.41191889495448,25.26078656278679,7596.612465446342,1.0029490764837574,51,17
gmres,1e-03,3,201.95733636075883,8.454582534195652,4244.758025628241,1.1954848921163819,125,17
gmres,1e-03,4,200.1160679548179,1.841268405940923,1653.6479314254298,0.6548648518182342,97,17
gmres,1e-03,5,198.88910547824642,1.2269624765714866,1414.969537281587,1.8658282637893522,114,17
gmres,1e-03,6,198.62874143901107,0.26036403923535545,494.9715919908879,0.10761352111678069,10000,17
gmres,1e-03,7,198.41360271221822,0.21513872679284418,566.6826247592498,1.0306069977317092,10000,17
gmres,1e-03,8,198.23878613158647,0.17481658063175587,405.8594825964617,1.0650614767866335,244,17
gmres,1e-03,9,198.1219630642999,0.11682306728656044,437.87657055463256,0.9593303794807186,187,17
gmres,1e-03,10,198.02817823970867,0.09378482459123916,352.6463460301191,0.9179772017466707,199,17
gmres,1e-03,11,197.96430684931244,0.0638713903962298,321.90178003989047,0.8145116237097467,177,17
gmres,1e-03,12,197.89998295962133,0.06432388969111003,287.94885303991254,1.1577974015615797,138,17
gmres,1e-03,13,197.86821795861852,0.03176500100281032,248.7252273063344,0.5000165267403963,219,17
gmres,1e-03,14,197.82113121730413,0.04708674131438784,231.7266766622386,1.5255080891614474,103,17
gmres,1e-03,15,197.80591390039524,0.015217316908888279,197.6870239704601,0.33993707916932603,307,17
gmres,1e-03,16,197.77721814999148,0.028695750403755937,173.30285813836866,1.6922188271355538,116,17
gmres,1e-03,17,197.76762901963139,0.009589130360097897,143.9044799980263,0.572858580305338,189,17
gmres,1e-03,18,197.75661107641332,0.011017943218064374,107.95952093679041,1.388020707749022,167,17
gmres,1e-03,19,197.75207254676783,0.004538529645486733,89.63702796103864,0.8883211695054876,179,17
gmres,1e-03,20,197.74932440885402,0.002748137913812343,57.805501935953515,1.278191247584688,170,17
gmres,1e-03,21,197.74858025630778,0.0007441525462468235,35.2642160272634,1.0132460540663673,415,17
gmres,1e-03,22,197.74844290112196,0.00013735518581370343,15.077433397065917,1.160763004785698,864,17
gmres,1e-03,23,197.74843049389463,1.2407227330868409e-05,2.354797673726633,1.1016162077069402,10000,17
gmres,1e-04,1,235.67270545774127,7.98537474962788,8548.422147388284,0.18115565863676608,10000,17
gmres,1e-04,2,210.44441119802985,25.22829425971142,7596.612465446342,1.0006835572147665,99,17
gmres,1e-04,3,202.01551851031394,8.428892687715916,4247.528610468704,1.1824897195854132,214,17
gmres,1e-04,4,200.14621025516465,1.869308255149292,1672.929884718369,0.6518992485940961,191,17
gmres,1e-04,5,198.90704011340787,1.239170141756773,1433.404730324406,1.8004828519862388,204,17
gmres,1e-04,6,198.64156989813264,0.2654702152752293,488.9168543393484,0.0795229241894505,10000,17
gmres,1e-04,7,198.47689144761776,0.1646784505148844,567.1358805770149,0.7309399168828542,10000,17
gmres,1e-04,8,198.29094835783147,0.18594308978629215,388.5790851226615,1.0388037234489367,379,17
gmres,1e-04,9,198.14042415071768,0.15052420711379,475.66048506703913,1.2473003148364574,296,17
gmres,1e-04,10,198.0536331326935,0.08679101802417222,350.939381348816,0.6322727856596767,320,17
gmres,1e-04,11,197.95622086406502,0.09741226862848862,343.11096704512636,1.5540313617678434,320,17
gmres,1e-04,12,197.90589851752367,0.050322346541349816,291.9840037531986,0.7471681009136321,352,17
gmres,1e-04,13,197.86211691660358,0.04378160092008443,235.00383466352994,0.9785241667356834,219,17
gmres,1e-04,14,197.8219194807722,0.040197435831373696,231.90630751478548,1.3181442574083704,327,17
gmres,1e-04,15,197.80177898094124,0.020140499830972658,181.4208010720107,0.5255741961230919,443,17
gmres,1e-04,16,197.7751099376956,0.026669043245647117,175.7155330500574,1.7328719209144061,319,17
gmres,1e-04,17,197.7662207246387,0.008889213056875178,134.03400226663098,0.46162895223056444,755,17
gmres,1e-04,18,197.75505026767746,0.01117045696125274,111.75774069746952,1.6643956384844527,298,17
gmres,1e-04,19,197.75141024388762,0.003640023789841962,80.52050631555797,0.7169772521211707,384,17
gmres,1e-04,20,197.74894405700599,0.002466186881633803,55.13424220863506,1.5255080891614474,385,17
gmres,1e-04,21,197.74848362429995,0.0004604327060349078,27.485144308604067,0.8569975610782901,1566,17
gmres,1e-04,22,197.74841955581667,6.406848328310843e-05,11.1085858842443,1.138603614306615,1226,17
gmres,1e-05,1,235.90067956851763,7.7574006388515215,8548.422147388284,0.1754918604640302,10000,17
gmres,1e-05,2,210.68368476537586,25.216994803141773,7617.271008946613,0.9919520149460201,158,17
gmres,1e-05,3,202.01161471574983,8.67207004962603,4300.640979732367,1.1973177357060047,320,17
gmres,1e-05,4,200.21758053580373,1.7940341799460953,1652.8710882800945,0.5931851271948011,282,17
gmres,1e-05,5,198.93605425178046,1.281526284023272,1461.9310637776566,1.710279854756218,312,17
gmres,1e-05,6,198.66836623821817,0.2676880135622923,467.2522952019296,0.03547155150688275,10000,17
gmres,1e-05,7,198.47359422820884,0.19477201000933064,575.1528331364761,0.7809224960135583,10000,17
gmres,1e-05,8,198.28229711286795,0.19129711534088756,418.1821600854108,1.0712600915106296,461,17
gmres,1e-05,9,198.14827669362202,0.13402041924592822,464.3923625846979,1.0465677734867962,412,17
gmres,1e-05,10,198.05373342133217,0.09454327228985449,358.86229379565225,0.7923522332306636,540,17
gmres,1e-05,11,197.97318662152944,0.0805467998027325,338.40514912631625,1.1038817269759311,605,17
gmres,1e-05,12,197.9139630763667,0.05922354516272321,293.7416527327426,0.9090803920743158,417,17
gmres,1e-05,13,197.87203358828054,0.041929488086168476,250.0626894296247,0.8030818864926415,540,17
gmres,1e-05,14,197.82814267552084,0.043890912759707135,235.73933953533066,1.3281738267150835,478,17
gmres,1e-05,15,197.80866805547114,0.01947462004969225,194.00942988597185,0.4500339476095524,569,17
gmres,1e-05,16,197.77963714302192,0.029030912449229618,180.92355971171477,1.6655283981188447,438,17
gmres,1e-05,17,197.76994347759754,0.009693665424379105,144.7304002869811,0.47559161699224795,748,17
gmres,1e-05,18,197.757328037131,0.012615440466532846,117.06854423986772,1.5535986860887463,562,17
gmres,1e-05,19,197.7527774013471,0.0045506357839144584,91.19810861643758,0.7334728444274888,495,17
gmres,1e-05,20,197.74941618925473,0.003361212092357846,63.40706820634508,1.4756907774342372,647,17
gmres,1e-05,21,197.74861670573992,0.0007994835148110724,36.64229119040958,0.8622286835713993,1708,17
gmres,1e-05,22,197.7484346975798,0.00018200816012381438,17.515127608685727,1.227941260178262,1913,17
gmres,1e-05,23,197.74842724640538,7.4511744116989576e-06,2.392715748571874,1.1799567920406628,10000,17
gmres,1e-06,1,235.90067956851763,7.7574006388515215,8548.422147388284,0.1754918604640302,10000,17
gmres,1e-06,2,210.68397668293326,25.21670288558437,7617.271008946613,0.9919520149460201,205,17
gmres,1e-06,3,202.01182935279027,8.672147330142991,4300.757349089311,1.1973177357060047,382,17
gmres,1e-06,4,200.2177955803311,1.7940337724591586,1652.9580861585127,0.5931851271948011,417,17
gmres,1e-06,5,198.9362303505943,1.2815652297368274,1462.3773839056707,1.7095797708008835,409,17
gmres,1e-06,6,198.66846171683716,0.2677686337571288,467.24541804966753,0.03477146755183902,10000,17
gmres,1e-06,7,198.47395728919062,0.1945044276465353,574.7929614410199,0.7722930946168242,10000,17
gmres,1e-06,8,198.28066519606966,0.1932920931209594,419.7105910247795,1.096385085213831,613,17
gmres,1e-06,9,198.1493665679275,0.13129862814216153,464.8846829300655,1.0170770086492216,535,17
gmres,1e-06,10,198.0539448606888,0.09542170723869958,358.6552176486339,0.8078803333063826,729,17
gmres,1e-06,11,197.974228986264,0.07971587442480654,339.1791876422779,1.0801569011829846,856,17
gmres,1e-06,12,197.91434887665903,0.05988010960496126,293.7911067766876,0.9184098774260387,523,17
gmres,1e-06,13,197.8725155482515,0.04183332840753451,251.65312303362202,0.7948851607754139,766,17
gmres,1e-06,14,197.82853977974946,0.04397576850203677,235.74662835908188,1.318576933087571,751,17
gmres,1e-06,15,197.80904116945237,0.019498610297091545,194.8814439698685,0.45203205860310647,720,17
gmres,1e-06,16,197.77992703662977,0.029114132822599004,180.92936161085942,1.6563641801704105,677,17
gmres,1e-06,17,197.77020422741188,0.009722809217890926,145.49069133950755,0.4741914490821605,1076,17
gmres,1e-06,18,197.75743332725796,0.012770900153924458,117.59701535677083,1.558397132902512,690,17
gmres,1e-06,19,197.752858141033,0.004575186224968775,91.72958710349491,0.7277069053831758,1220,17
gmres,1e-06,20,197.74944076980833,0.0034173712246570176,63.793084807081,1.4775236210238996,808,17
gmres,1e-06,21,197.74862373173937,0.0008170380689591639,37.09408367129301,0.8613633322126633,2890,17
gmres,1e-06,22,197.74843460527055,0.00018912646882540685,17.816433782317304,1.2306394551263256,2728,17
gmres,1e-06,23,197.74842845748128,6.1477892643324594e-06,2.477793873094823,1.0694272479210067,10000,17
