outer_iter,p_penal,p_step,lambda_correction,lambda_penalty,lambda_reference,lambda_effective,compliance,volume_fraction_before,volume_residual_before,volume_fraction,volume_residual,theta_state_change,design_change,compliance_change,mechanics_iters,design_iters,mechanics_energy,design_energy,mechanics_message,design_message
1,1.0,0.0,0.0,6.011857678345223e-13,4.079519237613034,4.079519237613635,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,inf,0.0,inf,17,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
2,1.0,0.0,2.9430586863121156e-12,6.011857678345223e-13,4.079519237613034,4.079519237616578,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
3,1.0,0.0,5.886117372624231e-12,6.011857678345223e-13,4.079519237613034,4.079519237619521,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
4,1.0,0.0,8.829176058936347e-12,6.011857678345223e-13,4.079519237613034,4.079519237622464,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
5,1.0,0.0,1.1772234745248462e-11,6.011857678345223e-13,4.079519237613034,4.079519237625407,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
6,1.0,0.0,1.4715293431560578e-11,6.011857678345223e-13,4.079519237613034,4.07951923762835,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
7,1.0,0.0,1.7658352117872693e-11,6.011857678345223e-13,4.079519237613034,4.079519237631294,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
8,1.0,0.0,2.060141080418481e-11,6.011857678345223e-13,4.079519237613034,4.079519237634236,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
9,1.0,0.0,2.3544469490496924e-11,6.011857678345223e-13,4.079519237613034,4.07951923763718,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
10,1.0,0.0,2.648752817680904e-11,6.011857678345223e-13,4.079519237613034,4.079519237640122,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
11,1.0,0.0,2.9430586863121156e-11,6.011857678345223e-13,4.079519237613034,4.079519237643066,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
12,1.0,0.0,3.237364554943327e-11,6.011857678345223e-13,4.079519237613034,4.079519237646008,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
13,1.0,0.0,3.5316704235745387e-11,6.011857678345223e-13,4.079519237613034,4.0795192376489515,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
14,1.0,0.0,3.82597629220575e-11,6.011857678345223e-13,4.079519237613034,4.079519237651895,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
15,1.0,0.0,4.120282160836962e-11,6.011857678345223e-13,4.079519237613034,4.0795192376548375,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
16,1.0,0.0,4.4145880294681733e-11,6.011857678345223e-13,4.079519237613034,4.079519237657781,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
17,1.0,0.0,4.708893898099385e-11,6.011857678345223e-13,4.079519237613034,4.079519237660723,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
18,1.0,0.0,5.0031997667305965e-11,6.011857678345223e-13,4.079519237613034,4.079519237663667,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
19,1.0,0.0,5.297505635361808e-11,6.011857678345223e-13,4.079519237613034,4.07951923766661,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
20,1.0,0.5,5.5918115039930196e-11,6.011857678345223e-13,4.079519237613034,4.079519237669553,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
21,1.5,0.0,5.886117372624231e-11,6.011857678345223e-13,3.5647416508030783,3.564741650862541,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
22,1.5,0.0,6.143286006200601e-11,6.011857678345223e-13,3.5647416508030783,3.5647416508651126,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
23,1.5,0.0,6.400454639776971e-11,6.011857678345223e-13,3.5647416508030783,3.564741650867684,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
24,1.5,0.0,6.657623273353342e-11,6.011857678345223e-13,3.5647416508030783,3.5647416508702556,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
25,1.5,0.0,6.914791906929712e-11,6.011857678345223e-13,3.5647416508030783,3.5647416508728273,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
26,1.5,0.0,7.171960540506082e-11,6.011857678345223e-13,3.5647416508030783,3.564741650875399,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
27,1.5,0.0,7.429129174082452e-11,6.011857678345223e-13,3.5647416508030783,3.564741650877971,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
28,1.5,0.0,7.686297807658822e-11,6.011857678345223e-13,3.5647416508030783,3.5647416508805425,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
29,1.5,0.0,7.943466441235192e-11,6.011857678345223e-13,3.5647416508030783,3.5647416508831142,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
30,1.5,0.0,8.200635074811562e-11,6.011857678345223e-13,3.5647416508030783,3.564741650885686,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
31,1.5,0.0,8.457803708387932e-11,6.011857678345223e-13,3.5647416508030783,3.5647416508882577,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
32,1.5,0.0,8.714972341964303e-11,6.011857678345223e-13,3.5647416508030783,3.5647416508908294,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
33,1.5,0.0,8.972140975540673e-11,6.011857678345223e-13,3.5647416508030783,3.564741650893401,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
34,1.5,0.0,9.229309609117043e-11,6.011857678345223e-13,3.5647416508030783,3.564741650895973,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
35,1.5,0.0,9.486478242693413e-11,6.011857678345223e-13,3.5647416508030783,3.564741650898544,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
36,1.5,0.0,9.743646876269783e-11,6.011857678345223e-13,3.5647416508030783,3.564741650901116,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
37,1.5,0.0,1.0000815509846153e-10,6.011857678345223e-13,3.5647416508030783,3.5647416509036876,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
38,1.5,0.0,1.0257984143422523e-10,6.011857678345223e-13,3.5647416508030783,3.5647416509062593,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
39,1.5,0.0,1.0515152776998893e-10,6.011857678345223e-13,3.5647416508030783,3.564741650908831,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
40,1.5,0.5,1.0772321410575264e-10,6.011857678345223e-13,3.5647416508030783,3.5647416509114027,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
41,2.0,0.0,1.1029490044151634e-10,6.011857678345223e-13,2.7751977345448577,2.775197734655754,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
42,2.0,0.0,1.1229699169863831e-10,6.011857678345223e-13,2.7751977345448577,2.775197734657756,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
43,2.0,0.0,1.1429908295576029e-10,6.011857678345223e-13,2.7751977345448577,2.7751977346597583,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
44,2.0,0.0,1.1630117421288227e-10,6.011857678345223e-13,2.7751977345448577,2.7751977346617602,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
45,2.0,0.0,1.1830326547000424e-10,6.011857678345223e-13,2.7751977345448577,2.775197734663762,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
46,2.0,0.0,1.2030535672712622e-10,6.011857678345223e-13,2.7751977345448577,2.7751977346657646,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
47,2.0,0.0,1.223074479842482e-10,6.011857678345223e-13,2.7751977345448577,2.7751977346677665,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
48,2.0,0.0,1.2430953924137017e-10,6.011857678345223e-13,2.7751977345448577,2.7751977346697685,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
49,2.0,0.0,1.2631163049849215e-10,6.011857678345223e-13,2.7751977345448577,2.775197734671771,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
50,2.0,0.0,1.2831372175561413e-10,6.011857678345223e-13,2.7751977345448577,2.775197734673773,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
51,2.0,0.0,1.303158130127361e-10,6.011857678345223e-13,2.7751977345448577,2.775197734675775,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
52,2.0,0.0,1.3231790426985808e-10,6.011857678345223e-13,2.7751977345448577,2.7751977346777768,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
53,2.0,0.0,1.3431999552698005e-10,6.011857678345223e-13,2.7751977345448577,2.775197734679779,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
54,2.0,0.0,1.3632208678410203e-10,6.011857678345223e-13,2.7751977345448577,2.775197734681781,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
55,2.0,0.0,1.38324178041224e-10,6.011857678345223e-13,2.7751977345448577,2.775197734683783,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
56,2.0,0.0,1.4032626929834598e-10,6.011857678345223e-13,2.7751977345448577,2.7751977346857855,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
57,2.0,0.0,1.4232836055546796e-10,6.011857678345223e-13,2.7751977345448577,2.7751977346877874,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
58,2.0,0.0,1.4433045181258994e-10,6.011857678345223e-13,2.7751977345448577,2.7751977346897894,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
59,2.0,0.0,1.4633254306971191e-10,6.011857678345223e-13,2.7751977345448577,2.7751977346917918,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
60,2.0,0.5,1.483346343268339e-10,6.011857678345223e-13,2.7751977345448577,2.7751977346937937,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.40000000000006014,6.011857678345223e-14,0.0,0.0,0.0,0,0,-2.0779770780283684,0.022167739428554836,Gradient norm converged,Gradient norm converged
